Timestamp,A_Bangkok,B_GenZ,C_OnlinePurchase,Gender,Age,Education,Occupation,Income,BuyFrequency,DecisionTime,StoreType,PriceRange,InfoSource,Budget,IV1_1_Accuracy,IV1_2_DetailedReview,IV1_3_BrandComparison,IV1_4_NewProducts,IV1_5_FasterDecision,IV2_1_FunContent,IV2_2_PresentationStyle,IV2_3_MakeupInspiration,IV2_4_CreativeInfluencer,IV3_1_Knowledge,IV3_2_RealisticResults,IV3_3_SponsoredDisclosure,IV4_1_AccurateInfo,IV4_2_HonestReview,IV4_3_ProductDisclosure,IV4_4_ProsAndCons,IV4_5_BeautyImage,IV5_1_PersonalityFit,IV5_2_ReviewSkill,IV5_3_MakeupStyle,IV5_4_Approachable,IV5_5_CredibleImage,IV6_1_SkinType,IV6_2_Lifestyle,IV6_3_CosmeticPreference,IV6_4_PriceLevel,DV1_FutureIntent,DV2_TopChoice,DV3_CredibilityDriven,DV4_ReviewDriven,DV5_Repurchase,Comments
2026/03/20 22:57:37,1,1,1,2,2,2,1,3,2,2,2,2,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,4,4,4,4,5,5,5,5,5,-
2026/03/20 23:02:54,0,1,1,2,2,2,1,2,3,2,1,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,-
2026/03/20 23:06:32,0,1,1,2,2,2,1,1,4,1,1,2,1,2,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,ไม่มีค่ะ
2026/03/20 23:07:11,0,1,1,2,2,2,1,2,2,3,1,2,1,1,3,4,5,5,3,5,3,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,-
2026/03/20 23:18:32,1,1,1,2,2,2,1,3,3,3,2,2,2,3,5,5,5,4,5,5,5,4,5,4,5,5,5,5,5,5,5,4,5,5,4,5,4,5,5,5,4,5,5,5,5,เริ่ด
2026/03/20 23:47:09,0,1,0,1,2,2,1,2,2,2,1,2,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,😄
2026/03/21 00:57:49,0,1,1,2,2,2,1,2,2,1,1,2,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,-
2026/03/21 01:16:18,0,1,0,1,2,2,1,2,1,1,1,2,1,2,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,5,4,4,4,4,5,ไม่มี
2026/03/21 06:17:47,1,1,1,2,2,2,1,2,2,1,1,2,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,ไม่มีจ้า
2026/03/21 11:12:57,1,1,1,2,2,2,1,2,2,2,1,2,1,2,4,4,5,5,4,3,4,4,4,4,4,3,4,4,3,4,5,4,3,4,4,4,4,4,4,4,5,4,5,5,5,-
2026/03/21 12:54:07,0,1,1,2,2,1,3,2,2,1,1,2,1,3,4,5,3,4,4,2,4,3,4,4,3,4,4,2,5,5,3,4,3,5,3,4,4,3,5,4,4,3,4,4,3,.
2026/03/21 13:48:35,0,1,1,2,2,1,2,2,2,4,1,2,1,3,3,5,4,4,3,3,3,3,3,5,5,5,4,4,5,5,5,4,4,4,5,5,3,3,2,3,4,4,3,3,3,ไม่มี
2026/03/21 13:53:36,0,1,1,2,2,1,3,2,3,1,1,1,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,-
2026/03/21 13:59:32,0,1,0,2,2,2,1,1,1,2,1,2,1,2,4,4,5,5,4,3,4,4,4,4,4,4,4,4,5,3,4,4,5,5,5,5,4,4,5,5,4,4,5,5,4,
2026/03/21 14:03:11,1,1,0,1,2,2,1,2,1,1,1,1,1,1,4,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,4,3,3,ไม่ค่อยซื้อเครื่องสำอาง
2026/03/21 14:05:36,0,1,0,1,2,1,2,2,1,4,1,1,1,1,5,5,5,5,5,5,5,4,4,5,4,4,4,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,5,5,5,เเนะนำดี
2026/03/21 14:05:46,0,1,1,2,2,1,3,2,2,4,2,2,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-
2026/03/21 14:13:28,0,1,1,2,2,2,1,2,2,1,1,2,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,-
2026/03/21 14:16:51,0,1,1,2,1,1,1,1,3,1,1,1,1,2,4,4,4,4,5,4,4,4,5,4,5,4,4,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,4,5,5,ไม่มี
2026/03/21 14:16:59,0,1,1,2,2,2,1,1,2,2,1,1,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,D
2026/03/21 14:19:06,0,1,1,2,2,1,1,2,2,4,1,1,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,แบบฟอร์มมีประโยชน์ดีค่ะ
2026/03/21 14:40:18,0,1,1,2,2,1,3,3,2,1,2,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,5,4,5,ไม่มีค่ะ
2026/03/21 14:49:50,0,0,0,1,3,1,3,2,1,1,2,1,1,1,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,ไม่มี
2026/03/21 14:57:17,0,0,0,1,3,1,3,3,2,2,2,2,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,ครับ
2026/03/21 15:25:28,0,1,0,2,2,1,1,2,2,3,1,2,1,2,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,-
2026/03/21 15:54:37,0,1,1,2,2,2,1,2,3,1,1,1,1,3,2,4,4,4,3,4,4,4,4,5,5,5,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,3,3,4,4,ไม่มี
2026/03/24 21:09:56,1,1,1,2,2,2,1,1,3,1,1,2,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,บ่มี
2026/03/25 00:42:20,1,1,0,1,2,2,1,2,2,1,1,2,4,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,-
2026/04/09 12:55:31,1,1,0,1,2,2,1,3,2,1,1,2,1,2,5,5,5,5,4,5,5,5,5,5,4,4,5,5,5,5,5,4,5,4,5,5,3,5,5,5,5,5,5,5,5,-
